district,market,price_lkr,year,month,usd_lkr_rate,food_inflation_yoy,quarter,agri_season,crisis_period,covid_lockdown,month_sin,month_cos,price_lag_1m,price_lag_2m,price_lag_3m,price_roll3m_mean,price_roll6m_mean,price_roll3m_std,price_mom_pct,rice_Rice (long grain),rice_Rice (medium grain),rice_Rice (red nadu),rice_Rice (red),rice_Rice (white),prov_Central,prov_Eastern,prov_North Central,prov_North Western,prov_Northern,prov_Sabaragamuwa,prov_Southern,prov_Uva,prov_Western
Nuwara Eliya,Nuwara Eliya,75.65,2015,2,133.2,0.0,1,0,0,0,0.8660254037844386,0.5000000000000001,84.25,79.7,83.45,82.46666666666667,82.46666666666667,2.4291630931934827,-10.21,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,78.45,2015,2,133.2,0.0,1,0,0,0,0.8660254037844386,0.5000000000000001,75.65,84.25,79.7,79.86666666666666,80.7625,4.302421798630774,3.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,72.56,2015,3,133.2,0.0,1,0,0,0,1.0,6.123233995736766e-17,78.45,75.65,84.25,79.45,80.3,4.3863424398922515,-7.51,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,74.2,2015,3,133.2,0.0,1,0,0,0,1.0,6.123233995736766e-17,72.56,78.45,75.65,75.55333333333334,79.01,2.946189629561056,2.26,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,72.24,2015,3,133.2,0.0,1,0,0,0,1.0,6.123233995736766e-17,74.2,72.56,78.45,75.07000000000001,77.46833333333335,3.0398519700800843,-2.64,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,66.0,2015,4,133.2,0.0,2,1,0,0,0.8660254037844387,-0.4999999999999998,72.24,74.2,72.56,73.0,76.225,1.0514751542474678,-8.64,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,71.3,2015,4,133.2,0.0,2,1,0,0,0.8660254037844387,-0.4999999999999998,66.0,72.24,74.2,70.81333333333333,73.18333333333334,4.282117856076951,8.03,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,69.75,2015,4,133.2,0.0,2,1,0,0,0.8660254037844387,-0.4999999999999998,71.3,66.0,72.24,69.84666666666666,72.45833333333333,3.3643028004823012,-2.17,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,66.65,2015,5,133.2,0.0,2,1,0,0,0.49999999999999994,-0.8660254037844387,69.75,71.3,66.0,69.01666666666667,71.00833333333334,2.7250382260315305,-4.44,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,68.25,2015,5,133.2,0.0,2,1,0,0,0.49999999999999994,-0.8660254037844387,66.65,69.75,71.3,69.23333333333333,70.02333333333333,2.3676641090604584,2.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,67.8,2015,6,136.3,0.0,2,1,0,0,1.2246467991473532e-16,-1.0,68.25,66.65,69.75,68.21666666666667,69.03166666666665,1.5502687938977116,-0.66,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,62.5,2015,7,136.3,0.0,3,1,0,0,-0.4999999999999997,-0.8660254037844388,67.8,68.25,66.65,67.56666666666666,68.29166666666667,0.8251262529656109,-7.82,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,60.05,2015,7,136.3,0.0,3,1,0,0,-0.4999999999999997,-0.8660254037844388,62.5,67.8,68.25,66.18333333333334,67.70833333333333,3.1977856922146985,-3.92,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,59.44,2015,8,136.3,0.0,3,1,0,0,-0.8660254037844385,-0.5000000000000004,60.05,62.5,67.8,63.449999999999996,65.83333333333333,3.9613760235554003,-1.02,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,57.52,2015,8,136.3,0.0,3,1,0,0,-0.8660254037844385,-0.5000000000000004,59.44,60.05,62.5,60.663333333333334,64.115,1.61957813437105,-3.23,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,59.95,2015,9,136.3,0.0,3,1,0,0,-1.0,-1.8369701987210297e-16,57.52,59.44,60.05,59.00333333333333,62.59333333333333,1.3203156188323788,4.22,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,65.65,2015,9,136.3,0.0,3,1,0,0,-1.0,-1.8369701987210297e-16,59.95,57.52,59.44,58.97,61.21,1.2813664581217186,9.51,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,59.95,2015,10,136.3,0.0,4,0,0,0,-0.8660254037844386,0.5000000000000001,65.65,59.95,57.52,61.04,60.85166666666667,4.173164267075947,-8.68,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,64.55,2015,10,136.3,0.0,4,0,0,0,-0.8660254037844386,0.5000000000000001,59.95,65.65,59.95,61.85,60.42666666666667,3.290896534380802,7.67,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,65.5,2015,10,136.3,0.0,4,0,0,0,-0.8660254037844386,0.5000000000000001,64.55,59.95,65.65,63.38333333333333,61.17666666666667,3.023794525647033,1.47,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,68.45,2015,11,136.3,0.0,4,0,0,0,-0.5000000000000004,0.8660254037844384,65.5,64.55,59.95,63.333333333333336,62.18666666666667,2.9683047911784524,4.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,71.0,2015,11,136.3,0.0,4,0,0,0,-0.5000000000000004,0.8660254037844384,68.45,65.5,64.55,66.16666666666667,64.00833333333334,2.0336748347100877,3.73,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,65.6,2015,12,144.1,0.0,4,0,0,0,-2.4492935982947064e-16,1.0,71.0,68.45,65.5,68.31666666666666,65.85,2.7524231748285235,-7.61,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,71.05,2015,12,144.1,0.0,4,0,0,0,-2.4492935982947064e-16,1.0,65.6,71.0,68.45,68.35000000000001,65.84166666666667,2.701388531847985,8.31,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,74.05,2015,12,144.1,0.0,4,0,0,0,-2.4492935982947064e-16,1.0,71.05,65.6,71.0,69.21666666666667,67.69166666666666,3.1322249812765954,4.22,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,68.0,2016,2,144.4,0.0,1,0,0,0,0.8660254037844386,0.5000000000000001,74.05,71.05,65.6,70.23333333333333,69.27499999999999,4.283787265181733,-8.17,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,75.5,2016,2,144.4,0.0,1,0,0,0,0.8660254037844386,0.5000000000000001,68.0,74.05,71.05,71.03333333333335,69.69166666666666,3.0250344350656873,11.03,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,63.5,2016,3,144.4,0.0,1,0,0,0,1.0,6.123233995736766e-17,75.5,68.0,74.05,72.51666666666667,70.86666666666666,3.978169595848479,-15.89,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,70.33,2016,3,144.4,0.0,1,0,0,0,1.0,6.123233995736766e-17,63.5,75.5,68.0,69.0,69.61666666666666,6.062177826491049,10.76,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,67.67,2016,3,144.4,0.0,1,0,0,0,1.0,6.123233995736766e-17,70.33,63.5,75.5,69.77666666666666,70.40499999999999,6.019105692155033,-3.78,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,71.08,2016,4,144.4,0.0,2,1,0,0,0.8660254037844387,-0.4999999999999998,67.67,70.33,63.5,67.16666666666667,69.84166666666667,3.4427072680280175,5.04,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,69.67,2016,4,144.4,0.0,2,1,0,0,0.8660254037844387,-0.4999999999999998,71.08,67.67,70.33,69.69333333333333,69.34666666666668,1.7919356387250882,-1.98,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,67.62,2016,5,144.4,0.0,2,1,0,0,0.49999999999999994,-0.8660254037844387,69.67,71.08,67.67,69.47333333333334,69.625,1.7134857260371559,-2.94,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,69.42,2016,5,144.4,0.0,2,1,0,0,0.49999999999999994,-0.8660254037844387,67.62,69.67,71.08,69.45666666666666,68.31166666666667,1.7398371571308255,2.66,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,74.08,2016,5,144.4,0.0,2,1,0,0,0.49999999999999994,-0.8660254037844387,69.42,67.62,69.67,68.90333333333334,69.29833333333333,1.1184066046537144,6.71,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,77.42,2016,6,146.9,0.0,2,1,0,0,1.2246467991473532e-16,-1.0,74.08,69.42,67.62,70.37333333333333,69.92333333333333,3.3338466271460505,4.51,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,71.25,2016,6,146.9,0.0,2,1,0,0,1.2246467991473532e-16,-1.0,77.42,74.08,69.42,73.64,71.54833333333333,4.018109007978746,-7.97,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,75.33,2016,6,146.9,0.0,2,1,0,0,1.2246467991473532e-16,-1.0,71.25,77.42,74.08,74.25,71.57666666666667,3.088510968088017,5.73,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kandy,Kandy,76.75,2016,7,146.9,0.0,3,1,0,0,-0.4999999999999997,-0.8660254037844388,75.33,71.25,77.42,74.66666666666667,72.52,3.1380301676901268,1.89,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,72.5,2016,7,146.9,0.0,3,1,0,0,-0.4999999999999997,-0.8660254037844388,76.75,75.33,71.25,74.44333333333333,74.04166666666667,2.855194097313405,-5.54,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,73.5,2016,7,146.9,0.0,3,1,0,0,-0.4999999999999997,-0.8660254037844388,72.5,76.75,75.33,74.86,74.55499999999999,2.1636312070221186,1.38,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nuwara Eliya,Nuwara Eliya,73.75,2016,8,146.9,0.0,3,1,0,0,-0.8660254037844385,-0.5000000000000004,73.5,72.5,76.75,74.25,74.45833333333333,2.2220486043288954,0.34,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Matale,Matale,70.67,2016,8,146.9,0.0,3,1,0,0,-0.8660254037844385,-0.5000000000000004,73.75,73.5,72.5,73.25,73.84666666666666,0.6614378277661409,-4.18,1,0,0,0,0,1,0,0,0,0,0,0,0,0
